"","subject","participant","blocknum","trialnum","blockcode","trialcode","response","correct","latency","ppid"
"38","564",8,3,21,"Assessment1B","PosNegB_TOPIncongruentH",50,1,384,"564"
"39","564",8,3,22,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,614,"564"
"40","564",8,3,23,"Assessment1B","PosNegB_TOPCongruentH",50,1,371,"564"
"41","564",8,3,24,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,394,"564"
"42","564",8,3,25,"Assessment1B","PosNegB_TOPIncongruentV",44,1,464,"564"
"43","564",8,3,26,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,451,"564"
"44","564",8,3,27,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,567,"564"
"45","564",8,3,28,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,605,"564"
"46","564",8,3,29,"Assessment1B","PosNegB_TOPIncongruentH",50,1,411,"564"
"47","564",8,3,30,"Assessment1B","PosNegB_TOPIncongruentV",44,1,560,"564"
"48","564",8,3,31,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,703,"564"
"49","564",8,3,32,"Assessment1B","PosNegB_TOPCongruentV",44,1,721,"564"
"50","564",8,3,33,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,505,"564"
"51","564",8,3,34,"Assessment1B","PosNegB_TOPCongruentV",44,1,347,"564"
"52","564",8,3,35,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,507,"564"
"53","564",8,3,36,"Assessment1B","PosNegB_BOTTOMCongruentH",44,0,612,"564"
"54","564",8,3,37,"Assessment1B","PosNegB_TOPIncongruentH",50,1,545,"564"
"55","564",8,3,38,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,513,"564"
"56","564",8,3,39,"Assessment1B","PosNegB_TOPIncongruentV",44,1,459,"564"
"57","564",8,3,40,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,566,"564"
"58","564",8,3,41,"Assessment1B","PosNegB_TOPIncongruentH",50,1,477,"564"
"59","564",8,3,42,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,415,"564"
"60","564",8,3,43,"Assessment1B","PosNegB_TOPCongruentH",50,1,405,"564"
"61","564",8,3,44,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,490,"564"
"62","564",8,3,45,"Assessment1B","PosNegB_TOPCongruentV",44,1,396,"564"
"63","564",8,3,46,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,498,"564"
"64","564",8,3,47,"Assessment1B","PosNegB_TOPCongruentH",50,1,492,"564"
"65","564",8,3,48,"Assessment1B","PosNegB_TOPCongruentV",44,1,366,"564"
"66","564",8,3,49,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,789,"564"
"67","564",8,3,50,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,955,"564"
"68","564",8,3,51,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,386,"564"
"69","564",8,3,52,"Assessment1B","PosNegB_TOPIncongruentH",50,1,416,"564"
"70","564",8,3,53,"Assessment1B","PosNegB_TOPCongruentH",50,1,365,"564"
"71","564",8,3,54,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,324,"564"
"72","564",8,3,55,"Assessment1B","PosNegB_TOPIncongruentV",44,1,389,"564"
"73","564",8,3,56,"Assessment1B","PosNegB_TOPIncongruentH",50,1,331,"564"
"74","564",8,3,57,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,403,"564"
"75","564",8,3,58,"Assessment1B","PosNegB_TOPCongruentV",44,1,585,"564"
"76","564",8,3,59,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,591,"564"
"77","564",8,3,60,"Assessment1B","PosNegB_TOPCongruentH",50,1,437,"564"
"78","564",8,3,61,"Assessment1B","PosNegB_BOTTOMIncongruentH",44,0,497,"564"
"79","564",8,3,62,"Assessment1B","PosNegB_TOPIncongruentH",50,1,475,"564"
"80","564",8,3,63,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,565,"564"
"81","564",8,3,64,"Assessment1B","PosNegB_TOPIncongruentV",44,1,773,"564"
"82","564",8,3,65,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,571,"564"
"83","564",8,3,66,"Assessment1B","PosNegB_TOPIncongruentV",44,1,482,"564"
"84","564",8,3,67,"Assessment1B","PosNegB_TOPCongruentV",44,1,589,"564"
"85","564",8,3,68,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,363,"564"
"86","564",8,3,69,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,538,"564"
"87","564",8,3,70,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,450,"564"
"88","564",8,3,71,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,557,"564"
"89","564",8,3,72,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,469,"564"
"90","564",8,3,73,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,551,"564"
"91","564",8,3,74,"Assessment1B","PosNegB_TOPIncongruentH",50,1,687,"564"
"92","564",8,3,75,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,457,"564"
"93","564",8,3,76,"Assessment1B","PosNegB_TOPCongruentV",44,1,588,"564"
"94","564",8,3,77,"Assessment1B","PosNegB_TOPIncongruentV",44,1,610,"564"
"95","564",8,3,78,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,551,"564"
"96","564",8,3,79,"Assessment1B","PosNegB_TOPCongruentV",44,1,623,"564"
"97","564",8,3,80,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,507,"564"
"98","564",8,3,81,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,557,"564"
"99","564",8,3,82,"Assessment1B","PosNegB_TOPCongruentH",50,1,396,"564"
"100","564",8,3,83,"Assessment1B","PosNegB_TOPCongruentV",44,1,434,"564"
"101","564",8,3,84,"Assessment1B","PosNegB_TOPIncongruentV",44,1,470,"564"
"102","564",8,3,85,"Assessment1B","PosNegB_TOPIncongruentH",50,1,457,"564"
"103","564",8,3,86,"Assessment1B","PosNegB_TOPCongruentV",44,1,428,"564"
"104","564",8,3,87,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,569,"564"
"105","564",8,3,88,"Assessment1B","PosNegB_TOPCongruentV",44,1,583,"564"
"106","564",8,3,89,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,365,"564"
"107","564",8,3,90,"Assessment1B","PosNegB_BOTTOMIncongruentV",44,1,765,"564"
"108","564",8,3,91,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,772,"564"
"109","564",8,3,92,"Assessment1B","PosNegB_TOPCongruentH",50,1,443,"564"
"110","564",8,3,93,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,383,"564"
"111","564",8,3,94,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,597,"564"
"112","564",8,3,95,"Assessment1B","PosNegB_TOPCongruentH",50,1,499,"564"
"113","564",8,3,96,"Assessment1B","PosNegB_TOPCongruentV",44,1,469,"564"
"114","564",8,3,97,"Assessment1B","PosNegB_BOTTOMIncongruentH",50,1,527,"564"
"115","564",8,3,98,"Assessment1B","PosNegB_TOPCongruentH",50,1,464,"564"
"116","564",8,3,99,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,547,"564"
"117","564",8,3,100,"Assessment1B","PosNegB_TOPIncongruentV",44,1,372,"564"
"118","564",8,3,101,"Assessment1B","PosNegB_BOTTOMCongruentV",44,1,570,"564"
"119","564",8,3,102,"Assessment1B","PosNegB_TOPCongruentH",50,1,465,"564"
"120","564",8,3,103,"Assessment1B","PosNegB_TOPIncongruentH",50,1,356,"564"
"121","564",8,3,104,"Assessment1B","PosNegB_BOTTOMCongruentH",50,1,539,"564"
"122","564",8,4,1,"Modification1B","PosNegB_TOPCongruentV",44,1,457,"564"
"123","564",8,4,2,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,556,"564"
"124","564",8,4,3,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,579,"564"
"125","564",8,4,4,"Modification1B","PosNegB_TOPCongruentH",50,1,418,"564"
"126","564",8,4,5,"Modification1B","PosNegB_TOPCongruentH",50,1,471,"564"
"127","564",8,4,6,"Modification1B","PosNegB_TOPCongruentV",44,1,353,"564"
"128","564",8,4,7,"Modification1B","PosNegB_TOPCongruentV",44,1,497,"564"
"129","564",8,4,8,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,427,"564"
"130","564",8,4,9,"Modification1B","PosNegB_TOPCongruentH",50,1,327,"564"
"131","564",8,4,10,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,600,"564"
"132","564",8,4,11,"Modification1B","PosNegB_TOPCongruentV",44,1,613,"564"
"133","564",8,4,12,"Modification1B","PosNegB_TOPCongruentH",50,1,651,"564"
"134","564",8,4,13,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,526,"564"
"135","564",8,4,14,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,543,"564"
"136","564",8,4,15,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,503,"564"
"137","564",8,4,16,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,424,"564"
"138","564",8,4,17,"Modification1B","PosNegB_BOTTOMIncongruentH",50,1,493,"564"
"139","564",8,4,18,"Modification1B","PosNegB_TOPCongruentH",50,1,479,"564"
"140","564",8,4,19,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,457,"564"
"141","564",8,4,20,"Modification1B","PosNegB_TOPCongruentH",44,0,349,"564"
"142","564",8,4,21,"Modification1B","PosNegB_TOPCongruentV",44,1,597,"564"
"143","564",8,4,22,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,611,"564"
"144","564",8,4,23,"Modification1B","PosNegB_TOPCongruentV",44,1,640,"564"
"145","564",8,4,24,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,532,"564"
"146","564",8,4,25,"Modification1B","PosNegB_TOPCongruentH",50,1,309,"564"
"147","564",8,4,26,"Modification1B","PosNegB_TOPCongruentV",44,1,350,"564"
"148","564",8,4,27,"Modification1B","PosNegB_TOPCongruentV",44,1,461,"564"
"149","564",8,4,28,"Modification1B","PosNegB_BOTTOMIncongruentV",44,1,521,"564"
"150","564",8,4,29,"Modification1B","PosNegB_TOPCongruentH",50,1,601,"564"
"151","564",8,4,30,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,431,"564"
"152","564",8,4,31,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,467,"564"
"153","564",8,4,32,"Modification1B","PosNegB_TOPCongruentH",50,1,830,"564"
"154","564",8,4,33,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,371,"564"
"155","564",8,4,34,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,458,"564"
"156","564",8,4,35,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,373,"564"
"157","564",8,4,36,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,371,"564"
"158","564",8,4,37,"Modification1B","PosNegB_TOPCongruentV",50,0,378,"564"
"159","564",8,4,38,"Modification1B","PosNegB_TOPCongruentH",50,1,497,"564"
"160","564",8,4,39,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,699,"564"
"161","564",8,4,40,"Modification1B","PosNegB_TOPCongruentV",44,1,397,"564"
"162","564",8,4,41,"Modification1B","PosNegB_TOPCongruentV",44,1,651,"564"
"163","564",8,4,42,"Modification1B","PosNegB_TOPCongruentH",50,1,398,"564"
"164","564",8,4,43,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,508,"564"
"165","564",8,4,44,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,445,"564"
"166","564",8,4,45,"Modification1B","PosNegB_TOPIncongruentH",50,1,393,"564"
"167","564",8,4,46,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,423,"564"
"168","564",8,4,47,"Modification1B","PosNegB_TOPCongruentV",44,1,452,"564"
"169","564",8,4,48,"Modification1B","PosNegB_TOPCongruentV",44,1,495,"564"
"170","564",8,4,49,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,425,"564"
"171","564",8,4,50,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,614,"564"
"172","564",8,4,51,"Modification1B","PosNegB_TOPCongruentV",50,0,395,"564"
"173","564",8,4,52,"Modification1B","PosNegB_TOPIncongruentV",44,1,673,"564"
"174","564",8,4,53,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,364,"564"
"175","564",8,4,54,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,635,"564"
"176","564",8,4,55,"Modification1B","PosNegB_TOPIncongruentH",50,1,367,"564"
"177","564",8,4,56,"Modification1B","PosNegB_TOPCongruentH",50,1,470,"564"
"178","564",8,4,57,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,777,"564"
"179","564",8,4,58,"Modification1B","PosNegB_TOPCongruentV",44,1,463,"564"
"180","564",8,4,59,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,387,"564"
"181","564",8,4,60,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,289,"564"
"182","564",8,4,61,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,491,"564"
"183","564",8,4,62,"Modification1B","PosNegB_TOPCongruentH",50,1,365,"564"
"184","564",8,4,63,"Modification1B","PosNegB_TOPCongruentH",50,1,308,"564"
"185","564",8,4,64,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,397,"564"
"186","564",8,4,65,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,363,"564"
"187","564",8,4,66,"Modification1B","PosNegB_TOPCongruentH",50,1,443,"564"
"188","564",8,4,67,"Modification1B","PosNegB_BOTTOMCongruentH",44,0,359,"564"
"189","564",8,4,68,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,438,"564"
"190","564",8,4,69,"Modification1B","PosNegB_TOPCongruentV",44,1,546,"564"
"191","564",8,4,70,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,354,"564"
"192","564",8,4,71,"Modification1B","PosNegB_TOPCongruentH",50,1,361,"564"
"193","564",8,4,72,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,553,"564"
"194","564",8,4,73,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,448,"564"
"195","564",8,4,74,"Modification1B","PosNegB_TOPCongruentV",50,0,372,"564"
"196","564",8,4,75,"Modification1B","PosNegB_TOPCongruentH",50,1,531,"564"
"197","564",8,4,76,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,395,"564"
"198","564",8,4,77,"Modification1B","PosNegB_TOPCongruentH",50,1,369,"564"
"199","564",8,4,78,"Modification1B","PosNegB_BOTTOMIncongruentV",44,1,648,"564"
"200","564",8,4,79,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,612,"564"
"201","564",8,4,80,"Modification1B","PosNegB_TOPCongruentV",44,1,409,"564"
"202","564",8,4,81,"Modification1B","PosNegB_BOTTOMIncongruentH",50,1,551,"564"
"203","564",8,4,82,"Modification1B","PosNegB_TOPCongruentV",44,1,694,"564"
"204","564",8,4,83,"Modification1B","PosNegB_TOPCongruentV",44,1,432,"564"
"205","564",8,4,84,"Modification1B","PosNegB_TOPIncongruentV",44,1,485,"564"
"206","564",8,4,85,"Modification1B","PosNegB_TOPCongruentH",50,1,327,"564"
"207","564",8,4,86,"Modification1B","PosNegB_TOPCongruentV",44,1,351,"564"
"208","564",8,4,87,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,431,"564"
"209","564",8,4,88,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,707,"564"
"210","564",8,4,89,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,389,"564"
"211","564",8,4,90,"Modification1B","PosNegB_TOPCongruentV",44,1,515,"564"
"212","564",8,4,91,"Modification1B","PosNegB_BOTTOMCongruentH",50,1,348,"564"
"213","564",8,4,92,"Modification1B","PosNegB_BOTTOMCongruentV",50,0,428,"564"
"214","564",8,4,93,"Modification1B","PosNegB_BOTTOMCongruentV",44,1,553,"564"
"215","564",8,4,94,"Modification1B","PosNegB_TOPCongruentH",50,1,392,"564"
"216","564",8,4,95,"Modification1B","PosNegB_TOPCongruentH",50,1,422,"564"
"217","564",8,4,96,"Modification1B","PosNegB_TOPCongruentH",50,1,363,"564"
"218","564",8,5,1,"Modification2B","PosNegB_TOPCongruentV",44,1,343,"564"
"219","564",8,5,2,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,519,"564"
"220","564",8,5,3,"Modification2B","PosNegB_TOPCongruentH",50,1,400,"564"
"221","564",8,5,4,"Modification2B","PosNegB_TOPCongruentH",50,1,301,"564"
"222","564",8,5,5,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,399,"564"
"223","564",8,5,6,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,397,"564"
"224","564",8,5,7,"Modification2B","PosNegB_TOPCongruentV",44,1,555,"564"
"225","564",8,5,8,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,378,"564"
"226","564",8,5,9,"Modification2B","PosNegB_TOPCongruentH",50,1,441,"564"
"227","564",8,5,10,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,461,"564"
"228","564",8,5,11,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,352,"564"
"229","564",8,5,12,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,383,"564"
"230","564",8,5,13,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,629,"564"
"231","564",8,5,14,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,602,"564"
"232","564",8,5,15,"Modification2B","PosNegB_TOPCongruentV",44,1,447,"564"
"233","564",8,5,16,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,363,"564"
"234","564",8,5,17,"Modification2B","PosNegB_TOPCongruentH",50,1,395,"564"
"235","564",8,5,18,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,369,"564"
"236","564",8,5,19,"Modification2B","PosNegB_TOPCongruentH",50,1,407,"564"
"237","564",8,5,20,"Modification2B","PosNegB_TOPCongruentV",44,1,517,"564"
"238","564",8,5,21,"Modification2B","PosNegB_TOPCongruentV",44,1,421,"564"
"239","564",8,5,22,"Modification2B","PosNegB_TOPIncongruentV",44,1,418,"564"
"240","564",8,5,23,"Modification2B","PosNegB_TOPCongruentH",50,1,335,"564"
"241","564",8,5,24,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,311,"564"
"242","564",8,5,25,"Modification2B","PosNegB_TOPCongruentV",44,1,520,"564"
"243","564",8,5,26,"Modification2B","PosNegB_TOPCongruentV",44,1,497,"564"
"244","564",8,5,27,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,635,"564"
"245","564",8,5,28,"Modification2B","PosNegB_TOPCongruentV",44,1,447,"564"
"246","564",8,5,29,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,339,"564"
"247","564",8,5,30,"Modification2B","PosNegB_TOPCongruentH",50,1,331,"564"
"248","564",8,5,31,"Modification2B","PosNegB_TOPCongruentV",44,1,643,"564"
"249","564",8,5,32,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,415,"564"
"250","564",8,5,33,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,421,"564"
"251","564",8,5,34,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,393,"564"
"252","564",8,5,35,"Modification2B","PosNegB_BOTTOMIncongruentH",50,1,551,"564"
"253","564",8,5,36,"Modification2B","PosNegB_TOPCongruentH",50,1,863,"564"
"254","564",8,5,37,"Modification2B","PosNegB_BOTTOMCongruentH",44,0,354,"564"
"255","564",8,5,38,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,465,"564"
"256","564",8,5,39,"Modification2B","PosNegB_TOPCongruentH",50,1,445,"564"
"257","564",8,5,40,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,481,"564"
"258","564",8,5,41,"Modification2B","PosNegB_TOPCongruentH",50,1,379,"564"
"259","564",8,5,42,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,338,"564"
"260","564",8,5,43,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,418,"564"
"261","564",8,5,44,"Modification2B","PosNegB_TOPIncongruentH",50,1,335,"564"
"262","564",8,5,45,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,375,"564"
"263","564",8,5,46,"Modification2B","PosNegB_TOPCongruentV",44,1,317,"564"
"264","564",8,5,47,"Modification2B","PosNegB_TOPCongruentH",50,1,398,"564"
"265","564",8,5,48,"Modification2B","PosNegB_TOPCongruentH",50,1,284,"564"
"266","564",8,5,49,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,422,"564"
"267","564",8,5,50,"Modification2B","PosNegB_TOPCongruentV",44,1,379,"564"
"268","564",8,5,51,"Modification2B","PosNegB_TOPCongruentH",50,1,465,"564"
"269","564",8,5,52,"Modification2B","PosNegB_TOPCongruentV",44,1,341,"564"
"270","564",8,5,53,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,333,"564"
"271","564",8,5,54,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,349,"564"
"272","564",8,5,55,"Modification2B","PosNegB_TOPCongruentH",50,1,429,"564"
"273","564",8,5,56,"Modification2B","PosNegB_BOTTOMIncongruentH",50,1,833,"564"
"274","564",8,5,57,"Modification2B","PosNegB_TOPCongruentH",50,1,445,"564"
"275","564",8,5,58,"Modification2B","PosNegB_TOPCongruentV",44,1,457,"564"
"276","564",8,5,59,"Modification2B","PosNegB_TOPCongruentV",44,1,933,"564"
"277","564",8,5,60,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,413,"564"
"278","564",8,5,61,"Modification2B","PosNegB_TOPIncongruentH",50,1,362,"564"
"279","564",8,5,62,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,337,"564"
"280","564",8,5,63,"Modification2B","PosNegB_TOPCongruentV",44,1,457,"564"
"281","564",8,5,64,"Modification2B","PosNegB_TOPCongruentH",50,1,693,"564"
"282","564",8,5,65,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,367,"564"
"283","564",8,5,66,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,349,"564"
"284","564",8,5,67,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,357,"564"
"285","564",8,5,68,"Modification2B","PosNegB_BOTTOMIncongruentV",44,1,828,"564"
"286","564",8,5,69,"Modification2B","PosNegB_TOPCongruentV",44,1,505,"564"
"287","564",8,5,70,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,490,"564"
"288","564",8,5,71,"Modification2B","PosNegB_TOPCongruentV",44,1,420,"564"
"289","564",8,5,72,"Modification2B","PosNegB_TOPIncongruentV",44,1,465,"564"
"290","564",8,5,73,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,532,"564"
"291","564",8,5,74,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,701,"564"
"292","564",8,5,75,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,486,"564"
"293","564",8,5,76,"Modification2B","PosNegB_TOPCongruentH",50,1,416,"564"
"294","564",8,5,77,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,749,"564"
"295","564",8,5,78,"Modification2B","PosNegB_TOPCongruentV",44,1,469,"564"
"296","564",8,5,79,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,303,"564"
"297","564",8,5,80,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,465,"564"
"298","564",8,5,81,"Modification2B","PosNegB_TOPCongruentH",50,1,460,"564"
"299","564",8,5,82,"Modification2B","PosNegB_TOPCongruentV",44,1,343,"564"
"300","564",8,5,83,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,335,"564"
"301","564",8,5,84,"Modification2B","PosNegB_TOPCongruentH",50,1,391,"564"
"302","564",8,5,85,"Modification2B","PosNegB_TOPCongruentH",50,1,357,"564"
"303","564",8,5,86,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,421,"564"
"304","564",8,5,87,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,449,"564"
"305","564",8,5,88,"Modification2B","PosNegB_BOTTOMCongruentV",44,1,373,"564"
"306","564",8,5,89,"Modification2B","PosNegB_TOPCongruentH",50,1,347,"564"
"307","564",8,5,90,"Modification2B","PosNegB_BOTTOMCongruentH",50,1,419,"564"
"308","564",8,5,91,"Modification2B","PosNegB_TOPCongruentV",44,1,456,"564"
"309","564",8,5,92,"Modification2B","PosNegB_TOPCongruentH",50,1,315,"564"
"310","564",8,5,93,"Modification2B","PosNegB_TOPCongruentV",44,1,341,"564"
"311","564",8,5,94,"Modification2B","PosNegB_TOPCongruentV",44,1,413,"564"
